week,predicted_precipitation_avg,predicted_precipitation_max,CITY,precipitation_avg,precipitation_max
201733,1.2768,4.6963,Angra Dos Reis,1.2768,4.6963
201734,0.8585,4.2365,Angra Dos Reis,0.8585,4.2365
201735,0.2449,1.2539,Angra Dos Reis,0.2449,1.2539
201736,0.0012,0.0045,Angra Dos Reis,0.0012,0.0045
201737,0.003,0.0116,Angra Dos Reis,0.003,0.0116
201738,0.0095,0.0449,Angra Dos Reis,0.0095,0.0449
201739,0.5436,3.6655,Angra Dos Reis,0.5436,3.6655
201740,0.573,3.129,Angra Dos Reis,0.573,3.129
201741,0.0141,0.1499,Angra Dos Reis,0.0141,0.1499
201742,0.3497,1.8593,Angra Dos Reis,0.3497,1.8593
201743,3.3872,14.8503,Angra Dos Reis,3.3872,14.8503
201744,0.5507,2.5342,Angra Dos Reis,0.5507,2.5342
201745,1.0753,5.1667,Angra Dos Reis,1.0753,5.1667
201746,1.4566,8.283,Angra Dos Reis,1.4566,8.283
201747,5.5156,21.862,Angra Dos Reis,5.5156,21.862
201748,2.8815,11.911,Angra Dos Reis,2.8815,11.911
201749,0.9933,3.9222,Angra Dos Reis,0.9933,3.9222
201750,0.5452,3.6509,Angra Dos Reis,0.5452,3.6509
201751,3.9071,25.0548,Angra Dos Reis,3.9071,25.0548
201752,7.7707,22.0137,Angra Dos Reis,7.7707,22.0137
201753,2.4831,2.4831,Angra Dos Reis,2.4831,2.4831
201800,4.7675,13.751,Angra Dos Reis,4.7675,13.751
201801,9.4167,37.196,Angra Dos Reis,9.4167,37.196
201802,2.1102,8.1595,Angra Dos Reis,2.1102,8.1595
201803,3.1976,16.2338,Angra Dos Reis,3.1976,16.2338
201804,1.904,8.8522,Angra Dos Reis,1.904,8.8522
201805,2.1126,8.5687,Angra Dos Reis,2.1126,8.5687
201806,7.4771,17.166,Angra Dos Reis,7.4771,17.166
201807,4.6003,15.9882,Angra Dos Reis,4.6003,15.9882
201808,4.0577,20.1926,Angra Dos Reis,4.0577,20.1926
201809,5.3673,20.4641,Angra Dos Reis,5.3673,20.4641
201810,2.9086,14.2778,Angra Dos Reis,2.9086,14.2778
201811,3.6556,22.1459,Angra Dos Reis,3.6556,22.1459
201812,0.0,0.0,Angra Dos Reis,-0.0453,-0.1893
201813,5.146,17.3906,Angra Dos Reis,5.146,17.3906
201814,0.44,1.8773,Angra Dos Reis,0.44,1.8773
201815,2.4676,11.032,Angra Dos Reis,2.4676,11.032
201816,0.3134,1.947,Angra Dos Reis,0.3134,1.947
201817,0.2767,1.8496,Angra Dos Reis,0.2767,1.8496
201818,1.8547,10.9528,Angra Dos Reis,1.8547,10.9528
201819,2.6843,10.7218,Angra Dos Reis,2.6843,10.7218
201820,0.2106,1.0449,Angra Dos Reis,0.2106,1.0449
201821,0.0625,0.8817,Angra Dos Reis,0.0625,0.8817
201822,1.0981,4.352,Angra Dos Reis,1.0981,4.352
201823,0.9353,3.7501,Angra Dos Reis,0.9353,3.7501
201824,0.7623,4.5968,Angra Dos Reis,0.7623,4.5968
201825,0.0011,0.0006,Angra Dos Reis,0.0011,0.0006
201826,0.459,2.7056,Angra Dos Reis,0.459,2.7056
201827,0.5499,3.1623,Angra Dos Reis,0.5499,3.1623
201828,0.0204,0.0723,Angra Dos Reis,0.0204,0.0723
201829,0.3712,1.8832,Angra Dos Reis,0.3712,1.8832
201830,2.3237,7.5225,Angra Dos Reis,2.3237,7.5225
201831,1.2532,7.106,Angra Dos Reis,1.2532,7.106
201832,0.5081,3.0416,Angra Dos Reis,0.5081,3.0416
201833,0.0938,0.6996,Angra Dos Reis,0.0938,0.6996
201834,0.4581,2.3024,Angra Dos Reis,0.4581,2.3024
201835,1.9881,6.6897,Angra Dos Reis,1.9881,6.6897
201836,1.407,8.1621,Angra Dos Reis,1.407,8.1621
201837,1.502,6.0311,Angra Dos Reis,1.502,6.0311
201838,3.866,15.151,Angra Dos Reis,3.866,15.151
201839,1.6235,7.092,Angra Dos Reis,1.6235,7.092
201840,5.3095,13.4506,Angra Dos Reis,5.3095,13.4506
201841,1.5142,3.6463,Angra Dos Reis,1.5142,3.6463
201842,1.2419,4.5681,Angra Dos Reis,1.2419,4.5681
201843,0.6281,3.1069,Angra Dos Reis,0.6281,3.1069
201844,5.1933,18.3348,Angra Dos Reis,5.1933,18.3348
201845,0.8014,4.056,Angra Dos Reis,0.8014,4.056
201846,2.2402,9.9956,Angra Dos Reis,2.2402,9.9956
201847,2.1299,11.465,Angra Dos Reis,2.1299,11.465
201848,2.4042,9.3413,Angra Dos Reis,2.4042,9.3413
201849,0.1815,1.2856,Angra Dos Reis,0.1815,1.2856
201850,0.2367,1.5286,Angra Dos Reis,0.2367,1.5286
201851,3.0228,11.5727,Angra Dos Reis,3.0228,11.5727
201852,2.1343,4.2482,Angra Dos Reis,2.1343,4.2482
201900,6.1388,26.9179,Angra Dos Reis,6.1388,26.9179
201901,0.4017,0.6597,Angra Dos Reis,0.4017,0.6597
201902,0.8568,4.1448,Angra Dos Reis,0.8568,4.1448
201903,4.9196,24.6006,Angra Dos Reis,4.9196,24.6006
201904,0.0,0.0,Angra Dos Reis,-0.0012,-0.102
201905,8.4071,31.4274,Angra Dos Reis,8.4071,31.4274
201906,3.7724,16.0598,Angra Dos Reis,3.7724,16.0598
201907,6.5377,20.454,Angra Dos Reis,6.5377,20.454
201908,8.8069,35.7612,Angra Dos Reis,8.8069,35.7612
201909,2.3641,14.1384,Angra Dos Reis,2.3641,14.1384
201910,4.2253,18.4014,Angra Dos Reis,4.2253,18.4014
201911,6.395,18.2333,Angra Dos Reis,6.395,18.2333
201912,2.009,9.7427,Angra Dos Reis,2.009,9.7427
201913,0.6645,4.0218,Angra Dos Reis,0.6645,4.0218
201914,5.1491,26.0406,Angra Dos Reis,5.1491,26.0406
201915,1.6338,8.7239,Angra Dos Reis,1.6338,8.7239
201916,0.7621,5.1536,Angra Dos Reis,0.7621,5.1536
201917,1.3625,7.2133,Angra Dos Reis,1.3625,7.2133
201918,4.3894,18.2437,Angra Dos Reis,4.3894,18.2437
201919,5.6351,20.2694,Angra Dos Reis,5.6351,20.2694
201920,0.519,3.613,Angra Dos Reis,0.519,3.613
201921,1.0731,5.6069,Angra Dos Reis,1.0731,5.6069
201922,2.6226,9.4913,Angra Dos Reis,2.6226,9.4913
201923,0.2972,0.6943,Angra Dos Reis,0.2972,0.6943
201924,0.4894,2.6938,Angra Dos Reis,0.4894,2.6938
201925,0.0,0.0,Angra Dos Reis,-0.0003,-0.0019
201926,1.6163,6.5518,Angra Dos Reis,1.6163,6.5518
201927,0.0926,0.5482,Angra Dos Reis,0.0926,0.5482
201928,0.1038,1.037,Angra Dos Reis,0.1038,1.037
201929,0.0,0.0,Angra Dos Reis,-0.0003,-0.0006
201930,0.6842,4.3338,Angra Dos Reis,0.6842,4.3338
201931,0.7658,3.7944,Angra Dos Reis,0.7658,3.7944
201932,0.5445,2.4838,Angra Dos Reis,0.5445,2.4838
201933,2.4125,6.7566,Angra Dos Reis,2.4125,6.7566
201934,0.3031,1.8591,Angra Dos Reis,0.3031,1.8591
201935,2.3706,7.9326,Angra Dos Reis,2.3706,7.9326
201936,0.1167,0.7296,Angra Dos Reis,0.1167,0.7296
201937,0.086,0.508,Angra Dos Reis,0.086,0.508
201938,1.8422,5.6428,Angra Dos Reis,1.8422,5.6428
